codcidade,nome,uf,dataatual,codexterno,dataexportacao,liberado,pais,codunidadeembarque,datadigitacao,usuarioins,usuarioalt,codibge,obs,lat,lon,raio,codsiafi,taxaiss,checklist
1,CAMPO GRANDE,MS,2012-03-14 15:51:46.000,,,S,BRASIL,,,SAT,SAT,5002704,,,,,9051,,
7,CANDEIAS DO JAMARI,RO,,,,S,BRASIL,,,SAT,SAT,1100809,,-89.451,-633.573,,0681,,
8,CUJUBIM,RO,,,,S,BRASIL,,,SAT,SAT,1100940,,-89.782,-624.425,,0008,,
9,ITAPUA DO OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1101104,,,,,0683,,
10,COSTA MARQUES,RO,,,,S,BRASIL,,,SAT,SAT,1100080,,-120.617,-640.732,,0021,,
11,GUAJARA-MIRIM,RO,,,,S,BRASIL,,,SAT,SAT,1100106,,-113.311,-644.409,,0001,,
12,SAO FRANCISCO DO GUAPORE,RO,,,,S,BRASIL,,,SAT,SAT,1101492,,-123.831,-631.265,,0020,,
13,ARIQUEMES,RO,,,,S,BRASIL,,,SAT,SAT,1100023,,-99.105,-629.549,,0007,,
14,MACHADINHO D`OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100130,,-92.395,-621.124,,0039,,
15,RIO CRESPO,RO,,,,S,BRASIL,,,SAT,SAT,1100262,,-97.188,-627.464,,0687,,
16,ALTO PARAISO,RO,,,,S,BRASIL,,,SAT,SAT,1100403,,-9.66,-635.872,,0675,,
17,CACAULANDIA,RO,,,,S,BRASIL,,,SAT,SAT,1100601,,-103.258,-631.495,,0677,,
18,MONTE NEGRO,RO,,,,S,BRASIL,,,SAT,SAT,1101401,,-103.045,-63.354,,0685,,
19,VALE DO ANARI,RO,,,,S,BRASIL,,,SAT,SAT,1101757,,-9.724,-619.561,,0024,,
20,JARU,RO,,,,S,BRASIL,,,SAT,SAT,1100114,,-10.627,-626.664,,0015,,
22,OURO PRETO DO OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100155,,-103.666,-619.224,,0017,,
23,PRESIDENTE MEDICI,RO,,,,S,BRASIL,,,SAT,SAT,1100254,,-111.852,-619.407,,0019,,
24,GOVERNADOR JORGE TEIXEIRA,RO,,,,S,BRASIL,,,SAT,SAT,1101005,,-107.846,-630.443,,0693,,
25,MIRANTE DA SERRA,RO,,,,S,BRASIL,,,SAT,SAT,1101302,,-111.371,-628.615,,0697,,
26,NOVA UNIAO,RO,,,,S,BRASIL,,,SAT,SAT,1101435,,-109.494,-625.109,,0010,,
27,TEIXEIROPOLIS,RO,,,,S,BRASIL,,,SAT,SAT,1101559,,-109.927,-622.473,,0022,,
28,THEOBROMA,RO,,,,S,BRASIL,,,SAT,SAT,1101609,,-101.016,-622.809,,0975,,
29,URUPA,RO,,,,S,BRASIL,,,SAT,SAT,1101708,,-110.792,-623.813,,0977,,
30,VALE DO PARAISO,RO,,,,S,BRASIL,,,SAT,SAT,1101807,,-102.065,-620.699,,0979,,
31,NOVA BRASILANDIA D`OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100148,,-114.911,-621.649,,0041,,
32,SAO MIGUEL DO GUAPORE,RO,,,,S,BRASIL,,,SAT,SAT,1100320,,-117.078,-629.353,,0045,,
33,ALVORADA D`OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100346,,-112.993,-625.015,,0035,,
34,SERINGUEIRAS,RO,,,,S,BRASIL,,,SAT,SAT,1101500,,-119.249,-631.894,,0699,,
35,ALTA FLORESTA D`OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100015,,-124.575,-624.263,,0033,,
36,CACOAL,RO,,,,S,BRASIL,,,SAT,SAT,1100049,,-114.904,-614.317,,0009,,
38,ROLIM DE MOURA,RO,,,,S,BRASIL,,,SAT,SAT,1100288,,-117.526,-617.897,,0029,,
39,SANTA LUZIA D`OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100296,,-121.047,-617.944,,0043,,
40,ALTO ALEGRE DOS PARECIS,RO,,,,S,BRASIL,,,SAT,SAT,1100379,,-12.756,-619.797,,0002,,
41,NOVO HORIZONTE DO OESTE,RO,,,,S,BRASIL,,,SAT,SAT,1100502,,-117.077,-620.799,,0689,,
42,CASTANHEIRAS,RO,,,,S,BRASIL,,,SAT,SAT,1100908,,-114.266,-618.892,,0691,,
43,MINISTRO ANDREAZZA,RO,,,,S,BRASIL,,,SAT,SAT,1101203,,-111.558,-616.789,,0695,,
44,PIMENTA BUENO,RO,,,,S,BRASIL,,,SAT,SAT,1100189,,-117.878,-607.498,,0011,,
46,CHUPINGUAIA,RO,,,,S,BRASIL,,,SAT,SAT,1100924,,-126.724,-609.262,,0006,,
47,PARECIS,RO,,,,S,BRASIL,,,SAT,SAT,1101450,,-122.866,-613.166,,0012,,
