codmanif,numero,porcparticfretemot,fretemotoristaprop,usuarioins,usuarioalt,dataatual,datadigitacao,codmanifconhecimento,codcidadedescarga,ordem,codmanifev
1,166,,,MARCAO,,,2020-02-28 15:31:44.000,100001,5290,,
2,182,,,MARCAO,,,2020-03-04 12:00:48.000,100002,5316,,
3,183,,,MARCAO,,,2020-03-04 14:54:16.000,100003,5316,,
4,184,,,MARCAO,,,2020-03-04 15:59:02.000,100004,5316,,
5,167,,,MARCAO,,,2020-02-28 16:12:16.000,100005,5290,,
6,175,,,MARCAO,,,2020-03-03 18:18:24.000,100006,5290,,
7,177,,,MARCAO,,,2020-03-04 11:13:46.000,100007,5290,,
8,188,,,MARCAO,,,2020-03-05 09:36:56.000,100008,5316,,
9,189,,,MARCAO,,,2020-03-05 09:43:30.000,100009,5316,,
10,190,,,MARCAO,,,2020-03-05 11:23:06.000,100010,5316,,
11,191,,,MARCAO,,,2020-03-05 14:53:01.000,100011,5316,,
12,192,,,MARCAO,,,2020-03-05 17:57:25.000,100012,5316,,
13,193,,,MARCAO,,,2020-03-06 01:26:34.000,100013,5316,,
14,196,,,MARCAO,,,2020-03-06 11:41:45.000,100014,5316,,
15,197,,,MARCAO,,,2020-03-06 11:47:25.000,100015,5316,,
16,198,,,MARCAO,,,2020-03-06 12:08:58.000,100016,5316,,
17,200,,,MARCAO,,,2020-03-07 13:00:59.000,100017,5316,,
18,202,,,MARCAO,,,2020-03-07 16:39:32.000,100018,5316,,
19,201,,,MARCAO,,,2020-03-07 16:30:01.000,100019,5316,,
20,203,,,MARCAO,,,2020-03-07 18:07:37.000,100020,5316,,
21,204,,,MARCAO,,,2020-03-08 11:58:38.000,100021,5298,,
22,205,,,MARCAO,,,2020-03-08 12:49:27.000,100022,5316,,
23,206,,,MARCAO,,,2020-03-08 12:54:13.000,100023,5316,,
24,207,,,MARCAO,,,2020-03-08 12:58:05.000,100024,5316,,
25,208,,,MARCAO,,,2020-03-08 17:58:57.000,100025,5298,,
26,209,,,MARCAO,,,2020-03-08 18:13:41.000,100026,5298,,
27,210,,,MARCAO,,,2020-03-08 18:23:18.000,100027,5298,,
28,211,,,MARCAO,,,2020-03-09 11:17:51.000,100028,5316,,
29,212,,,MARCAO,,,2020-03-09 11:28:20.000,100029,5316,,
30,214,,,MARCAO,,,2020-03-09 11:52:41.000,100030,5316,,
31,215,,,MARCAO,,,2020-03-09 12:05:50.000,100031,5316,,
32,216,,,MARCAO,,,2020-03-09 12:50:16.000,100032,5316,,
33,217,,,MARCAO,,,2020-03-09 15:00:39.000,100033,5316,,
34,218,,,MARCAO,,,2020-03-09 15:17:24.000,100034,5316,,
35,219,,,MARCAO,,,2020-03-09 15:26:05.000,100035,5316,,
36,220,,,MARCAO,,,2020-03-09 15:52:55.000,100036,5316,,
37,221,,,MARCAO,,,2020-03-09 16:04:56.000,100037,5316,,
38,222,,,MARCAO,,,2020-03-09 16:11:35.000,100038,5298,,
39,223,,,MARCAO,,,2020-03-09 17:39:38.000,100039,5298,,
40,224,,,MARCAO,,,2020-03-09 18:00:21.000,100040,5316,,
41,225,,,MARCAO,,,2020-03-09 18:13:11.000,100041,5316,,
42,226,,,MARCAO,,,2020-03-10 09:29:48.000,100042,5316,,
43,227,,,MARCAO,,,2020-03-10 12:02:41.000,100043,5316,,
44,228,,,MARCAO,,,2020-03-10 12:10:47.000,100044,5316,,
45,229,,,MARCAO,,,2020-03-10 12:21:29.000,100045,5316,,
46,230,,,MARCAO,,,2020-03-11 09:00:53.000,100046,5316,,
47,231,,,MARCAO,,,2020-03-11 09:11:05.000,100047,5316,,
48,232,,,MARCAO,,,2020-03-11 09:58:53.000,100048,5316,,
49,233,,,MARCAO,,,2020-03-11 18:04:18.000,100049,5298,,
50,234,,,MARCAO,,,2020-03-11 18:09:14.000,100050,5298,,
51,235,,,MARCAO,,,2020-03-12 14:20:05.000,100051,5316,,
52,236,,,MARCAO,,,2020-03-12 14:30:32.000,100052,5316,,
53,237,,,MARCAO,,,2020-03-13 11:11:09.000,100053,5298,,
54,238,,,MARCAO,,,2020-03-13 15:51:53.000,100054,5298,,
55,239,,,MARCAO,,,2020-03-13 18:18:18.000,100055,5316,,
56,240,,,MARCAO,,,2020-03-14 11:00:40.000,100056,5316,,
57,241,,,MARCAO,,,2020-03-14 17:35:41.000,100057,5316,,
58,280,,,MARCAO,,,2020-03-16 08:18:35.000,100058,5316,,
59,281,,,MARCAO,,,2020-03-16 08:26:57.000,100059,5316,,
60,282,,,MARCAO,,,2020-03-16 18:41:45.000,100060,5316,,
61,283,,,MARCAO,,,2020-03-17 10:46:23.000,100061,5268,,
62,284,,,MARCAO,,,2020-03-17 14:34:03.000,100062,5316,,
63,285,,,MARCAO,,,2020-03-17 18:06:42.000,100063,5316,,
64,286,,,MARCAO,,,2020-03-18 10:40:46.000,100064,5268,,
65,287,,,MARCAO,,,2020-03-18 16:30:31.000,100065,5316,,
66,288,,,MARCAO,,,2020-03-18 16:39:28.000,100066,5316,,
67,289,,,MARCAO,,,2020-03-18 16:47:28.000,100067,5316,,
68,290,,,MARCAO,,,2020-03-18 16:53:06.000,100068,5316,,
69,291,,,MARCAO,,,2020-03-19 11:07:16.000,100069,5268,,
70,292,,,MARCAO,,,2020-03-19 11:21:05.000,100070,5268,,
71,293,,,MARCAO,,,2020-03-19 18:22:02.000,100071,5298,,
72,294,,,MARCAO,,,2020-03-21 11:14:19.000,100072,5268,,
73,324,,,MARCAO,,,2020-03-21 17:27:44.000,100073,5316,,
74,326,,,MARCAO,,,2020-03-23 18:29:46.000,100074,5316,,
75,327,,,MARCAO,,,2020-03-25 14:47:20.000,100075,5268,,
76,125,,,FABIANO,,,2020-01-31 16:17:19.000,100076,981,,
77,328,,,MARCAO,,,2020-03-25 16:24:23.000,100077,5316,,
78,329,,,MARCAO,,,2020-03-25 19:07:09.000,100078,5316,,
79,330,,,MARCAO,,,2020-03-27 10:34:53.000,100079,5268,,
80,331,,,MARCAO,,,2020-03-27 11:19:37.000,100080,5268,,
81,332,,,MARCAO,,,2020-03-27 14:41:07.000,100081,5316,,
82,333,,,MARCAO,,,2020-03-27 15:02:14.000,100082,5316,,
83,334,,,MARCAO,,,2020-03-27 16:17:12.000,100083,5316,,
84,335,,,MARCAO,,,2020-03-27 16:48:02.000,100084,5316,,
85,336,,,MARCAO,,,2020-03-28 10:58:18.000,100085,5316,,
86,337,,,MARCAO,,,2020-03-28 11:08:18.000,100086,5268,,
87,338,,,MARCAO,,,2020-03-28 16:51:04.000,100087,5316,,
88,339,,,MARCAO,,,2020-03-29 11:28:18.000,100088,5316,,
89,340,,,MARCAO,,,2020-03-29 11:42:56.000,100089,5316,,
90,341,,,MARCAO,,,2020-03-30 10:25:36.000,100090,5268,,
91,342,,,MARCAO,,,2020-03-30 11:29:35.000,100091,5316,,
92,344,,,MARCAO,,,2020-03-30 16:28:20.000,100092,5316,,
93,345,,,MARCAO,,,2020-04-01 16:00:04.000,100093,5268,,
94,346,,,MARCAO,,,2020-04-03 11:38:49.000,100094,5268,,
95,347,,,MARCAO,,,2020-04-04 10:49:19.000,100095,5268,,
96,364,,,MARCAO,,,2020-04-07 11:42:19.000,100096,5268,,
97,365,,,MARCAO,,,2020-04-07 19:58:35.000,100097,5268,,
98,366,,,MARCAO,,,2020-04-11 10:23:37.000,100098,5268,,
99,367,,,MARCAO,,,2020-04-11 12:06:11.000,100099,5268,,
100,368,,,MARCAO,,,2020-04-14 11:08:05.000,100100,5268,,
101,369,,,MARCAO,,,2020-04-15 12:12:48.000,100101,5268,,
102,370,,,MARCAO,,,2020-04-20 20:18:46.000,100102,5268,,
103,371,,,MARCAO,,,2020-04-22 15:42:25.000,100103,5268,,
104,372,100.0,7005.6,MARCAO,MARCAO,2020-05-04 16:47:11.579,2020-05-04 16:47:11.579,100104,37,,
105,377,100.0,6958.0,MARCAO,MARCAO,2020-05-06 10:55:30.518,2020-05-06 10:55:30.518,100105,37,,
106,381,100.0,2675.4,MARCAO,MARCAO,2020-05-07 17:07:32.831,2020-05-07 17:07:32.831,100106,5262,,
107,388,100.0,6776.0,LETYCIA,LETYCIA,2020-05-12 15:57:29.838,2020-05-12 15:57:29.838,100107,37,,
108,393,100.0,7187.6,LUIZ,LUIZ,2020-05-14 09:09:38.912,2020-05-14 09:09:38.912,100108,37,,
109,416,100.0,751.68,ANGELICA,ANGELICA,2020-05-31 11:04:52.792,2020-05-31 11:04:52.792,100109,5214,,
110,417,100.0,752.84,ANGELICA,ANGELICA,2020-05-31 17:43:21.476,2020-05-31 17:43:21.476,100110,5214,,
111,418,100.0,1043.42,ANGELICA,ANGELICA,2020-05-31 18:57:17.430,2020-05-31 18:57:17.430,100111,5214,,
112,419,100.0,897.26,ANGELICA,ANGELICA,2020-05-31 18:59:33.712,2020-05-31 18:59:33.712,100112,5214,,
113,420,100.0,925.68,ANGELICA,ANGELICA,2020-05-31 19:03:02.596,2020-05-31 19:03:02.596,100113,5214,,
114,421,100.0,1043.42,ANGELICA,ANGELICA,2020-05-31 19:05:33.916,2020-05-31 19:05:33.916,100114,5214,,
115,428,100.0,1085.96,ANGELICA,ANGELICA,2020-06-02 07:43:48.374,2020-06-02 07:43:48.374,100115,5214,,
116,430,100.0,675.0,ANGELICA,ANGELICA,2020-06-03 09:41:22.265,2020-06-03 09:41:22.265,100116,5195,,
117,432,100.0,2246.62,ANGELICA,ANGELICA,2020-06-03 09:53:08.820,2020-06-03 09:53:08.820,100117,5195,,
118,431,100.0,1500.0,ANGELICA,ANGELICA,2020-06-03 09:56:23.149,2020-06-03 09:56:23.149,100118,5195,,
