codviagem,data,codmotorista,codviagemws,tabela,chavetabela,status,datainiprev,datafimprev,dataini,datafim,localorigem,latorigem,lonorigem,localdestino,latdestino,londestino,mostrainternetcliente,valores,obs,obs2,usuarioins,usuarioalt,datains,dataalt,transportadora
1,2020-08-05 00:00:00.000,30,,,,0,2020-08-05 00:00:00.000,2020-08-05,2020-08-05,2020-08-05,"fazenda xxxx
",,,porto blblaallaalal,,,,"FRETE EMPRESA 10,00 POR TONELADA
FRETE MOTORISTA 7,00 POR TONELADA",DO ARMAZEM PRO PORTO,KKSKSKSKSKSK,PAULO,PAULO,2020-08-06 13:58:38.899,2020-08-06 13:59:26.167,TRANSBORDO
2,2020-11-03 13:24:51.710,673,,1.0,1245.0,0,2020-11-03 13:24:51.710,,,,"COABRA COOP AGRO IND DO CTO OESTE DO BRASIL/MT 03.739.175/0002-94
RONDONOPOLIS-MT CEP: 78745000
RODOVIA BR 163, KM 119, SALA 20,  2o ANDAR,0 PARQUE INDUSTRIAL VETORASSO
Fone: 06621283500 Compl: INDISPONIVEL
",0.0,0.0,"ADD TEX IMPORTADORA E EXPORTADORA LTDA 27.832.280/0001-50
SAO PAULO-SP CEP: 04222040
RUA CAPITAO MENDES FLORES,202 VILA INDEPENDENCIA
Fone: 01129147332 Compl: INDISPONIVEL
",0.0,0.0,N," Peso de saída: 29.320,00 PPT: 240,0000 Frete: 7.036,80
Mercadoria: ALGODÃO EM PLUMA Valor: 197.420,36 Tolerância Quebra: 0,2500
","
",,DANIEL,DANIEL,2020-11-03 13:32:25.794,2020-11-03 13:32:25.794,"BOM FRETE TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78746055
ROD BR- 163,S/N PARQUE INDUSTRIAL VETORASSO
Fone: 66996702000 EMail: oneidelogistica@hotmail.com
"
3,2020-11-16 20:46:36.206,779,,1.0,1461.0,0,2020-11-16 20:46:36.206,,,,"FERTILIZANTES TOCANTINS S.A 05.571.228/0013-99
PORTO VELHO-RO CEP: 76801870
ESTRADA DO BELMONT,8530 JARDIM NACIONAL
Fone: 06234146300 Compl: ANEXO CONTEINER
",0.0,0.0,"OSWALDO NICOLETTI JUNIOR 258.141.252-68
ITAPUA DO OESTE-RO CEP: 78937000
RODOVIA BR 364,S/N ZONA RURAL
Fone: 00000000000 Compl: KM 588
",0.0,0.0,N," Peso de saída: 500.000,00 PPT: 32,0000 Frete: 16.000,00
Mercadoria: KCL GR TOCANTINS 60 Valor: 104.796,84 Tolerância Quebra: 0,2500
","
",,LUIZ,LUIZ,2020-11-16 20:56:17.914,2020-11-16 20:56:17.914,"BOM FRETE TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78746055
ROD BR- 163,S/N PARQUE INDUSTRIAL VETORASSO
Fone: 66996702000 EMail: oneidelogistica@hotmail.com
"
4,2021-02-07 09:51:41.502,293,,1.0,2657.0,0,2021-02-07 09:51:41.502,,,,"CLAIDES LAZARETTI MASUTTI 203.740.702-53
CANDEIAS DO JAMARI-RO CEP: 76860000
EST LINHA 43 LT 76,SN ZONA RURAL
Fone: 06933214060 Compl: 
",0.0,0.0,"CIAGRAM PORTOS E NAVEGACOES DA AMAZONIA LTDA 02.900.972/0001-68
HUMAITA-AM CEP: 69800000
R I QUADRA E  LOTE 02,SN SETOR INDUSTRIAL
Fone: 09223346690 Compl: 
",0.0,0.0,N," Peso de saída: 37.640,00 PPT: 50,0000 Frete: 1.882,00
Mercadoria: SOJA EM GRÃOS  Valor: 54.578,00 Tolerância Quebra: 0,2500
","
",,LUIZ,LUIZ,2021-02-07 10:04:12.795,2021-02-07 10:04:12.780,"BOM FRETE TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78746055
AVENIDA ARY COELHO,1124 VILA BIRIGUI
Fone: 06696402005 EMail: oneidelogistica@hotmail.com
"
5,2021-03-10 14:11:59.334,1916,,1.0,3554.0,0,2021-03-10 14:11:59.334,,,,"ARMAZENS GERAIS DEBASTIANI LTDA 07.228.524/0001-83
FELIZ NATAL-MT CEP: 78885000
AVENIDA PERIMETRAL LESTE,SN CENTRO
Fone: 06635851120 Compl: 
",0.0,0.0,"TERLOGS TERMINAL MARITIMO LTDA 04.814.657/0001-43
SAO FRANCISCO DO SUL-SC CEP: 89240000
 AVENIDA ENGENHEIRO LEITE RIBEIRO ,470 CENTRO
Fone: 04734714400 Compl: 
",0.0,0.0,N," Peso de saída: 49.020,00 PPT: 335,0000 Frete: 16.421,70
Mercadoria: SOJA COMERCIAL Valor: 130.720,00 Tolerância Quebra: 0,2500
","
",,MAURO,MAURO,2021-03-15 10:23:47.430,2021-03-15 10:23:47.430,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
6,2021-04-06 07:21:27.128,2253,,1.0,4292.0,0,2021-04-06 07:21:27.128,,,,"NELMO PREUSSLER FAZENDA PONTE NOVA 198.282.769-68
PORTO VELHO-RO CEP: 76834899
RUA ALTO MADEIRA SETOR 02,SN ZONA RURAL
Fone: 06933222162 Compl: 
",0.0,0.0,"PIARARA INDUSTRIA DE ALIMENTOS LTDA 09.264.950/0001-06
CACOAL-RO CEP: 76960970
AVENIDA SÃO PAULO 2775,AC CACOAL,sn CENTRO
Fone: 01135353434 Compl: INDISPONIVEL
",0.0,0.0,N," Peso de saída: 37.500,00 PPT: 60,0000 Frete: 2.250,00
Mercadoria: ARROZ EM CASCA Valor: 28.125,00 Tolerância Quebra: 0,2500
","
",,THIAGO,THIAGO,2021-04-06 07:44:10.849,2021-04-06 07:44:10.833,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
7,2021-07-21 08:11:26.375,2402,,1.0,7520.0,0,2021-07-21 08:11:26.375,,,,"JBS S A 02.916.265/0280-99
CAMPO VERDE-MT CEP: 78840000
CAMPO VERDE,0 DISTRITO INDUSTRIAL III
Fone: 06634194080 Compl: 
",0.0,0.0,"SULINA COMERCIO DE OLEOS LTDA 02.507.334/0004-24
RONDONOPOLIS-MT CEP: 78721532
ANEL VIARIO CONRADO SALES BRITO,S/N RESIDENCIAL VILA MINEIRA
Fone: 06634269315 Compl: KM 1,8
",0.0,0.0,N," Peso de saída: 35.670,00 PPT: 79,0000 Frete: 2.817,93
Mercadoria: ACIDO GRAXO DESTILADO Valor: 34.956,60 Tolerância Quebra: 0,2500
","
",,JOAOVITOR,JOAOVITOR,2021-07-21 08:54:36.769,2021-07-21 08:54:36.753,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
8,2021-07-26 14:09:19.241,4147,,1.0,7769.0,0,2021-07-26 14:09:19.241,,,,"JOAO ANDRE LOPES GUERREIRO 033.196.139-36
CAMPO VERDE-MT CEP: 78840000
CAMPO VERDE,SN ZONA RURAL
Fone: 06634192620 Compl: 
",0.0,0.0,"COOPERATIVA AGROINDUSTRIAL ALFA 83.305.235/0023-24
QUILOMBO-SC CEP: 89850000
ROD SC 468,S/N SILO QUILOMBO
Fone: 00000000000 Compl: 
",0.0,0.0,N," Peso de saída: 49.580,00 PPT: 312,4384 Frete: 15.490,70
Mercadoria: MILHO GMO Valor: 93.821,89 Tolerância Quebra: 0,2500
","
",,JOAOVITOR,JOAOVITOR,2021-07-26 18:06:08.024,2021-07-26 18:06:08.008,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
9,2021-12-16 17:28:33.963,684,,1.0,14450.0,0,2021-12-16 17:28:33.963,,,,"ARMAZENS GERAIS VILA CARIOCA LTDA 02.335.993/0002-69
ARARAQUARA-SP CEP: 14808030
AV ODONTOLOGO EUCLIDES DA CUNHA,29 1 DISTR IND ALBERT GEORGES KAR
Fone:  Compl: 
",0.0,0.0,"NISSHINBO DO BRASIL INDUSTRIA TEXTIL LTDA 43.459.304/0002-05
ITAPETININGA-SP CEP: 18205720
AVENIDA NISSHIMBO DO BRASIL,- DE 1815/1816 AO FIM,2510 VILA CAMARÃO
Fone: 01132899255 Compl: 
",0.0,0.0,N," Peso de saída: 28.269,00 PPT: 70,0000 Frete: 1.978,83
Mercadoria: ALGODÃO EM PLUMA Valor: 441.799,52 Tolerância Quebra: 0,2500
","
",,WLEANDRO,WLEANDRO,2021-12-16 17:33:36.619,2021-12-16 17:33:36.619,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0002-74
SORRISO-MT CEP: 78894280
AVENIDA PERIMETRAL SUDOESTE ,8245 SÃO CRISTOVÃO 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
10,2021-12-21 14:18:11.716,6297,,1.0,14714.0,0,2021-12-21 14:18:11.716,,,,"TEXTIL NORBERTO SIMIONATO S A 44.207.389/0001-16
ARARAS-SP CEP: 13600000
RUA MARIA SIMIONE SIMIONATO,210 LORETO
Fone: 01935413477 Compl: INDISPONIVEL
",0.0,0.0,"COOPERBRAC COOP. AGR. DO BRASIL CENTRAL 15.759.617/0003-24
SAO PAULO-SP CEP: 04220001
AVENIDA PRESIDENTE WILSON,- DE 4153/4154 A 5651/56,4772 VILA INDEPENDENCIA
Fone: 01120636969 Compl: 
",0.0,0.0,N," Peso de saída: 32.540,00 PPT: 0,0000 Frete: 0,00
Mercadoria: ALGODAO EM PLUMA Valor: 0,00 Tolerância Quebra: 0,2500
","
",,CLOVIS,CLOVIS,2021-12-22 09:05:47.636,2021-12-22 09:05:47.627,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
